SiteName,Season,SurveyYear,SurveyDate,Section,ProtectionArea,NumHumans,NumLeashedDogs,NumUnleashedDogs,NumDogsRoaming,NumDogsChasingBirds,NumDogsChasingPlovers,NumPloversDisturbed,NumHorses,NumVehicles,Notes,QCFlag,QCNotes,SectorStartTime_CALCULATED,SectorEndTime_CALCULATED
Ocean Beach,WINTER,1994,12/8/1994,1,No,0,0,0,0,0,0,0,0,0,,,,1994-12-08T12:20:00Z,1994-12-08T12:20:00Z
Ocean Beach,WINTER,1994,12/8/1994,2,No,4,0,0,0,0,0,0,0,0,,,,1994-12-08T12:10:00Z,1994-12-08T12:20:00Z
Ocean Beach,WINTER,1994,12/8/1994,3,No,13,0,0,1,0,0,0,0,0,,,,1994-12-08T12:00:00Z,1994-12-08T12:10:00Z
Ocean Beach,WINTER,1994,12/8/1994,4,Yes,19,0,0,5,0,0,0,0,0,,,,1994-12-08T11:40:00Z,1994-12-08T12:00:00Z
Ocean Beach,WINTER,1994,12/8/1994,5,Yes,17,0,0,6,0,0,0,0,0,plane,,,1994-12-08T11:25:00Z,1994-12-08T11:40:00Z
Ocean Beach,WINTER,1994,12/8/1994,6,Yes,22,0,0,11,0,0,0,0,0,,,,1994-12-08T10:50:00Z,1994-12-08T11:25:00Z
Ocean Beach,WINTER,1994,12/8/1994,7,Yes,14,0,0,5,1,0,0,0,0,,,,1994-12-08T10:15:00Z,1994-12-08T10:50:00Z
Ocean Beach,WINTER,1994,12/8/1994,8,Yes,15,0,2,4,0,0,0,0,0,,,,1994-12-08T10:10:00Z,1994-12-08T11:03:00Z
Ocean Beach,WINTER,1994,12/8/1994,9,Yes,10,0,0,3,0,0,0,0,0,,,,1994-12-08T11:03:00Z,1994-12-08T11:28:00Z
Ocean Beach,WINTER,1994,12/8/1994,10,Yes,21,0,0,3,0,0,0,0,0,,,,1994-12-08T11:28:00Z,1994-12-08T11:48:00Z
Ocean Beach,WINTER,1994,12/8/1994,11,Yes,7,0,0,1,0,0,0,0,0,,,,1994-12-08T11:48:00Z,1994-12-08T12:05:00Z
Ocean Beach,WINTER,1994,12/8/1994,12,Yes,11,0,0,1,0,0,0,0,1,DFG ATV,,,1994-12-08T12:05:00Z,1994-12-08T12:08:00Z
Ocean Beach,WINTER,1994,12/8/1994,13,No,11,0,0,1,1,0,0,0,0,plane,,,1994-12-08T12:08:00Z,1994-12-08T12:18:00Z
Ocean Beach,WINTER,1994,12/8/1994,14,No,5,2,1,2,1,0,0,0,0,,,,1994-12-08T12:18:00Z,1994-12-08T12:30:00Z
Ocean Beach,WINTER,1994,12/15/1994,1,No,2,0,0,0,0,0,0,0,0,,,,1994-12-15T12:07:00Z,1994-12-15T12:10:00Z
Ocean Beach,WINTER,1994,12/15/1994,2,No,6,0,0,0,0,0,0,0,0,,,,1994-12-15T11:58:00Z,1994-12-15T12:07:00Z
Ocean Beach,WINTER,1994,12/15/1994,3,No,3,0,0,0,0,0,0,0,0,,,,1994-12-15T11:49:00Z,1994-12-15T11:58:00Z
Ocean Beach,WINTER,1994,12/15/1994,4,Yes,26,0,0,3,1,0,0,0,0,,,,1994-12-15T11:29:00Z,1994-12-15T11:49:00Z
Ocean Beach,WINTER,1994,12/15/1994,5,Yes,6,1,0,1,0,0,0,0,0,,,,1994-12-15T11:02:00Z,1994-12-15T11:29:00Z
Ocean Beach,WINTER,1994,12/15/1994,6,Yes,4,0,1,1,0,0,0,0,0,,,,1994-12-15T10:33:00Z,1994-12-15T11:02:00Z
Ocean Beach,WINTER,1994,12/15/1994,7,Yes,6,0,0,2,0,0,0,0,0,helicopter,,,1994-12-15T10:05:00Z,1994-12-15T10:33:00Z
Ocean Beach,WINTER,1994,12/15/1994,8,Yes,16,0,5,2,0,1,0,0,0,,,,1994-12-15T10:15:00Z,1994-12-15T11:15:00Z
Ocean Beach,WINTER,1994,12/15/1994,9,Yes,5,0,1,1,0,0,0,0,0,,,,1994-12-15T11:15:00Z,1994-12-15T11:20:00Z
Ocean Beach,WINTER,1994,12/15/1994,10,Yes,3,0,1,1,0,0,0,0,0,,,,1994-12-15T11:20:00Z,1994-12-15T11:35:00Z
Ocean Beach,WINTER,1994,12/15/1994,11,Yes,5,0,0,0,0,0,0,0,0,,,,1994-12-15T11:35:00Z,1994-12-15T11:40:00Z
Ocean Beach,WINTER,1994,12/15/1994,12,Yes,6,1,1,2,0,0,0,0,0,,,,1994-12-15T11:40:00Z,1994-12-15T11:50:00Z
Ocean Beach,WINTER,1994,12/15/1994,13,No,6,0,0,1,0,0,0,0,0,,,,1994-12-15T11:50:00Z,1994-12-15T12:00:00Z
